recency,frequency,monetaryavg,monetarystd,avgquantitypertransaction,customertenuredays,firstpurchasedaysago,preferreddayofweek,preferredhour,preferredmonth,weekendpurchaseratio,avgdaysbetweenpurchases,uniqueproducts,avgproductspertransaction,uniquecountries,negativequantitycount,zeropricecount,returnratio,uniqueinvoices,age,supportticketscount,satisfactionscore,rfmsegment,agecategory,spendingcategory,loyaltylevel,churn,regyear,regday,monetaryperday,avgbasketvalue,purchaseintensity,returnimpact,monetaryperday_log,avgbasketvalue_log,returnimpact_log,regmonth_sin,regmonth_cos,regweekday_sin,regweekday_cos,country_targetenc,customertype_Nouveau,customertype_Occasionnel,customertype_Perdu,customertype_Régulier,favoriteseason_Hiver,favoriteseason_Printemps,favoriteseason_Été,preferredtimeofday_Matin,preferredtimeofday_Midi,preferredtimeofday_Soir,region_Amérique du Nord,region_Amérique du Sud,region_Asie,region_Autre,region_Europe centrale,region_Europe continentale,region_Europe de l'Est,region_Europe du Nord,region_Europe du Sud,region_Moyen-Orient,region_Océanie,region_UK,churnriskcategory_Faible,churnriskcategory_Moyen,churnriskcategory_Élevé,weekendpreference_Semaine,weekendpreference_Weekend,basketsizecategory_Moyen,basketsizecategory_Petit,productdiversity_Modéré,productdiversity_Spécialisé,gender_M,gender_Unknown,accountstatus_Closed,accountstatus_Pending,accountstatus_Suspended
302,11,16.950737179487184,13.603661689116102,5.426282051282051,71,374,3,9,12,0.0,0.2218649517684887,24,0.6857142857142857,1,15,0,0.048076923076923,35,49.0,1.0,4.0,-1,-1,-1,-1,1,2010,17,11.845771452145215,299.10572916666666,0.1527777777777778,172.56099759615358,2.55301468731389,5.704134843122696,5.156529108759642,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.3324050632911392,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
32,11,15.70969387755102,11.6847688239824,6.913265306122449,342,374,2,13,10,0.1683673469387755,1.7179487179487178,106,5.888888888888889,1,24,0,0.1224489795918367,18,49.0,3.0,4.0,-1,-1,-1,-1,0,2010,4,93.3060606060606,256.59166666666664,0.03206997084548105,377.0326530612244,4.546545456991619,5.551375643810449,5.934980575648578,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.3324050632911392,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False
3,11,28.634820717131475,23.15013187581723,19.95617529880478,370,374,4,12,11,0.0557768924302788,1.456,115,6.388888888888889,1,4,0,0.0159362549800796,18,46.0,2.0,5.0,-1,3,-1,-1,0,2009,12,897.3171875,299.10572916666666,0.029649595687331536,57.199501992031585,6.80052322141514,5.704134843122696,4.063876797862837,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.27586206896551724,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
96,5,33.86607142857142,42.95311926234322,15.678571428571429,278,374,0,9,9,0.0,10.25925925925926,24,4.8,1,0,0,0.0,5,32.0,2.0,2.0,-1,1,-1,-1,1,2010,28,9.775773195876289,158.04166666666666,0.017921146953405017,0.0,2.3773003917332916,5.069166222397284,0.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.3324050632911392,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
330,6,105.85,215.9862634521001,9.666666666666666,43,374,2,9,12,0.0,8.2,1,0.1666666666666666,1,3,0,0.5,6,49.0,2.0,1.0,-1,-1,-1,-1,1,2009,10,1.9187311178247735,90.72857142857143,0.13636363636363635,317.55,1.071148973146401,4.51883390574469,5.763779448562497,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.3324050632911392,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False
26,11,42.16981651376147,49.09086065619568,19.027522935779817,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,3.15,1,6,0,0.055045871559633,20,25.0,2.0,5.0,-1,1,-1,-1,0,2010,18,132.93587962962962,299.10572916666666,0.03151862464183381,197.5744266055045,4.897361175201714,5.704134843122696,5.291163974968782,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.3324050632911392,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False
8,11,14.226685236768802,23.64446978200517,8.974930362116991,366,374,1,12,12,0.0,0.9972067039106144,148,5.481481481481482,1,32,0,0.0891364902506963,27,78.0,3.0,2.0,-1,5,-1,-1,0,2010,2,398.8076388888889,299.10572916666666,0.02997275204359673,319.9348189415039,5.9909835286593776,5.704134843122696,5.771238046254306,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.3324050632911392,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
16,11,72.3065625,142.20644033836976,31.484375,357,374,4,15,10,0.0,5.587301587301587,47,3.1333333333333333,1,3,0,0.046875,15,38.0,2.0,2.0,-1,2,-1,-1,0,2010,17,211.13345588235296,299.10572916666666,0.030726256983240222,168.24697265625002,5.357215585493436,5.704134843122696,5.131359024815574,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.3324050632911392,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,11,23.85360899237254,46.625077317700935,15.14251304696909,373,374,1,13,1,0.0397430750702529,0.1285140562248996,571,4.838983050847458,1,112,0,0.0449618627057406,118,49.0,1.0,3.0,-1,-1,-1,-1,0,2010,23,1794.634375,299.10572916666666,0.029411764705882353,161.3802087515052,7.493113650743245,5.704134843122696,5.089940553007469,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.3324050632911392,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False
3,11,7.627477744807122,9.759291387411546,2.026706231454006,371,374,2,12,12,0.049455984174085,0.3336633663366337,331,3.8488372093023258,1,39,0,0.0385756676557863,86,75.0,2.0,1.0,-1,5,-1,-1,0,2010,4,897.3171875,299.10572916666666,0.02956989247311828,138.45843842729954,6.80052322141514,5.704134843122696,4.937766624449948,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.3324050632911392,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False
